Home,Win,Minutes,FieldGoals,FieldGoalsAttempts,FieldGoals%,3P,3PA,3P%,FreeThrows,FreeThrowAttempts,FreeThrows%,ORebounds,DRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points,GameScore
1,0,13.43,2,3,.667,0,0,,5,5,1.000,1,1,2,2,2,0,0,3,9,10.9
1,1,31.50,7,11,.636,1,1,1.000,2,2,1.000,1,4,5,3,2,3,0,3,17,19.0
1,0,18.15,5,7,.714,0,1,.000,5,6,.833,3,7,10,3,2,1,0,2,15,19.9
0,0,19.12,1,6,.167,0,0,,1,2,.500,3,4,7,4,1,1,3,2,3,2.8
0,1,25.28,7,12,.583,0,1,.000,1,3,.333,5,5,10,3,1,1,0,5,15,15.4
0,0,35.18,7,15,.467,1,2,.500,1,1,1.000,3,8,11,2,5,0,3,4,16,14.6
1,1,29.57,12,18,.667,1,3,.333,2,4,.500,3,11,14,4,0,1,2,3,27,24.1
0,0,29.01,3,9,.333,1,2,.500,1,2,.500,3,3,6,4,2,0,0,5,8,8.3
1,1,25.42,6,14,.429,2,2,1.000,2,2,1.000,4,8,12,3,0,2,1,6,16,13.9
0,1,18.34,4,9,.444,1,1,1.000,4,4,1.000,3,3,6,0,1,0,1,3,13,10.1
0,0,13.57,1,5,.200,0,1,.000,0,0,,1,2,3,0,1,0,1,2,2,-0.6
0,1,24.55,2,7,.286,0,1,.000,1,1,1.000,0,6,6,2,1,0,1,0,5,4.1
0,0,3.40,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,4,0,-2.3
1,0,30.12,10,15,.667,1,2,.500,2,2,1.000,3,10,13,4,2,0,4,4,23,20.8
1,0,20.11,4,8,.500,1,2,.500,4,4,1.000,4,9,13,6,2,0,2,5,13,16.7
0,1,26.13,3,9,.333,1,4,.250,0,0,,4,7,11,3,1,1,3,2,7,6.8
0,0,10.58,2,4,.500,0,0,,1,2,.500,3,1,4,2,0,0,1,3,5,4.2
1,0,19.06,3,4,.750,0,0,,4,4,1.000,0,6,6,3,1,1,3,2,10,10.2
1,1,28.23,3,8,.375,1,2,.500,7,8,.875,1,5,6,3,0,2,1,5,14,11.9
1,0,33.52,6,14,.429,0,2,.000,3,3,1.000,2,10,12,4,1,1,2,5,15,12.5
1,1,20.39,4,11,.364,0,2,.000,5,5,1.000,2,10,12,3,2,1,3,4,13,11.5
1,1,33.52,9,20,.450,0,1,.000,2,4,.500,3,6,9,3,1,1,1,0,20,15.5
1,1,27.24,6,8,.750,1,2,.500,5,5,1.000,2,8,10,4,2,3,0,4,18,23.9
1,1,16.31,0,0,,0,0,,0,0,,0,5,5,3,0,0,2,4,0,0.0
0,0,27.48,5,10,.500,1,2,.500,1,2,.500,3,5,8,4,2,1,1,2,12,13.9
0,0,25.19,5,8,.625,1,1,1.000,3,3,1.000,3,3,6,4,1,1,2,3,14,14.7
0,0,22.06,4,7,.571,0,1,.000,0,0,,1,4,5,2,1,1,1,2,8,7.9
0,1,24.45,5,16,.313,1,2,.500,0,0,,6,8,14,4,0,1,1,6,11,8.5
0,0,22.36,4,12,.333,0,1,.000,3,3,1.000,1,3,4,3,3,0,2,2,11,8.1
1,1,27.00,5,6,.833,0,0,,8,12,.667,1,7,8,5,1,0,1,1,18,20.1
0,1,21.42,4,9,.444,0,2,.000,0,0,,2,10,12,4,0,0,1,3,8,8.3
0,0,20.51,2,7,.286,0,1,.000,1,2,.500,3,6,9,2,1,0,0,1,5,6.4
1,0,23.55,1,7,.143,0,2,.000,0,0,,0,8,8,2,2,0,3,2,2,-0.5
0,1,28.41,4,6,.667,1,1,1.000,0,0,,5,9,14,1,0,1,1,5,9,11.0
0,0,23.06,4,7,.571,1,3,.333,0,0,,2,6,8,3,1,1,1,1,9,11.3
1,0,32.14,2,6,.333,0,1,.000,2,2,1.000,4,9,13,5,1,2,0,2,6,13.2
1,0,19.03,3,5,.600,1,3,.333,0,0,,0,2,2,2,0,2,0,2,7,7.3
1,1,32.13,3,9,.333,0,2,.000,2,2,1.000,3,12,15,4,1,1,0,2,8,12.3
1,0,36.02,7,9,.778,0,2,.000,5,6,.833,3,8,11,4,2,1,1,4,19,22.5
0,0,34.56,7,10,.700,1,2,.500,3,3,1.000,6,7,13,5,0,0,2,3,18,20.4
0,1,21.08,2,5,.400,1,2,.500,0,0,,1,6,7,2,0,0,4,4,5,0.6
1,0,34.06,10,20,.500,1,5,.200,2,3,.667,6,11,17,2,4,1,1,5,23,23.2
0,0,22.22,6,9,.667,0,1,.000,0,0,,2,2,4,1,0,0,4,4,12,5.2
0,1,14.26,3,3,1.000,0,0,,2,4,.500,1,2,3,5,0,0,1,3,8,8.9
0,0,22.42,3,9,.333,0,0,,0,0,,2,4,6,0,1,1,1,3,6,3.0
0,1,22.15,4,5,.800,0,1,.000,1,1,1.000,0,5,5,2,1,1,1,2,9,9.9
0,0,28.22,4,10,.400,1,3,.333,3,4,.750,1,4,5,2,2,0,0,4,12,9.9
1,0,18.29,1,5,.200,0,3,.000,2,2,1.000,1,2,3,2,1,0,0,3,4,3.4
1,0,20.27,2,7,.286,0,0,,2,2,1.000,2,1,3,1,1,0,1,1,6,3.9
0,0,25.56,0,3,.000,0,0,,0,0,,0,5,5,3,1,1,2,5,0,-0.8
1,1,19.19,3,4,.750,0,0,,4,5,.800,0,2,2,2,0,0,1,3,10,7.8
1,0,27.17,4,8,.500,0,2,.000,0,0,,2,10,12,4,0,2,3,3,8,8.4
1,1,20.50,5,8,.625,1,1,1.000,1,2,.500,2,4,6,4,0,1,0,3,12,12.9
1,1,18.29,3,5,.600,0,0,,2,2,1.000,3,5,8,3,1,1,0,1,8,12.7
0,0,22.39,4,6,.667,0,0,,1,2,.500,1,4,5,6,0,0,0,4,9,10.5
1,0,29.21,3,7,.429,1,2,.500,0,0,,3,3,6,5,0,2,3,5,7,6.2
0,1,31.00,3,8,.375,1,2,.500,6,6,1.000,3,8,11,3,0,1,1,2,13,14.1
1,0,24.00,7,11,.636,0,0,,3,4,.750,3,11,14,3,1,0,1,3,17,18.0
0,0,21.12,5,7,.714,0,0,,4,4,1.000,7,3,10,3,0,1,1,3,14,17.5
0,0,27.31,6,10,.600,0,0,,5,7,.714,7,4,11,1,0,1,4,1,17,14.7
