Home,Win,Minutes,FieldGoals,FieldGoalsAttempts,FieldGoals%,3P,3PA,3P%,FreeThrows,FreeThrowAttempts,FreeThrows%,ORebounds,DRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points,GameScore
0,0,19.68,2,8,0.25,0,0,,4,4,1,3,2,5,1,0,2,1,6,8,4.6
0,1,21.20,6,8,0.75,0,0,,1,2,0.5,3,8,11,2,1,0,1,1,13,14.9
1,1,31.62,9,10,0.9,0,0,,7,13,0.538,3,8,11,0,1,0,0,5,25,22.7
1,1,22.20,5,5,1,0,0,,6,8,0.75,2,7,9,1,1,2,1,1,16,18.9
0,1,22.55,2,5,0.4,0,0,,2,6,0.333,2,5,7,2,1,1,1,2,6,5.9
1,1,26.40,5,7,0.714,0,0,,4,6,0.667,2,2,4,1,0,1,4,3,14,8.5
1,1,19.97,5,6,0.833,0,0,,2,4,0.5,1,4,5,2,0,0,1,6,12,8.9
0,1,11.83,1,2,0.5,0,0,,1,1,1,1,3,4,0,0,0,0,0,3,3.6
1,1,21.15,3,4,0.75,0,0,,3,6,0.5,2,4,6,0,0,3,2,3,9,7.7
1,1,20.77,4,8,0.5,0,0,,3,3,1,0,5,5,0,0,0,2,5,11,4.5
1,1,27.42,5,8,0.625,0,0,,3,7,0.429,3,6,9,1,1,2,2,3,13,11.6
0,0,12.65,1,3,0.333,0,0,,0,0,,0,1,1,0,1,1,2,6,2,-2.1
0,1,16.43,2,2,1,0,0,,5,6,0.833,0,2,2,0,0,2,4,6,9,3.6
0,0,16.40,2,5,0.4,0,0,,1,2,0.5,0,1,1,0,0,1,2,0,5,0.9
1,0,14.97,4,5,0.8,0,0,,2,3,0.667,0,1,1,0,0,1,3,4,10,4.1
0,1,24.33,3,3,1,0,0,,1,5,0.2,0,6,6,0,0,4,1,4,7,6.5
1,1,30.33,4,6,0.667,0,0,,1,1,1,0,2,2,1,0,1,1,2,9,6.6
1,1,20.53,2,3,0.667,0,0,,0,3,0,0,1,1,0,0,1,1,3,4,0.3
1,1,20.73,6,9,0.667,0,0,,0,4,0,3,3,6,2,0,0,2,2,12,8.1
0,0,19.50,2,4,0.5,0,0,,1,2,0.5,0,4,4,1,0,2,0,4,5,4.3
1,0,20.58,3,3,1,0,0,,4,4,1,0,2,2,2,0,0,0,1,10,10.7
1,1,13.42,1,2,0.5,0,0,,0,0,,1,0,1,1,1,1,3,4,2,-0.5
1,1,35.22,10,12,0.833,0,0,,3,3,1,2,3,5,2,0,5,3,4,23,21.2
1,1,25.65,5,7,0.714,0,0,,2,2,1,0,2,2,1,1,2,2,5,12,8.8
1,1,25.02,5,9,0.556,0,0,,2,5,0.4,5,7,12,0,3,2,0,2,12,15.7
1,1,6.32,1,1,1,0,0,,0,0,,0,0,0,1,1,0,0,1,2,3
0,0,15.00,2,4,0.5,0,0,,1,2,0.5,0,4,4,1,1,2,0,3,5,5.7
0,1,12.70,0,2,0,0,0,,0,0,,2,4,6,0,0,2,2,5,0,-1.4
0,1,15.78,1,3,0.333,0,0,,1,2,0.5,0,4,4,0,0,1,3,3,3,-1.4
1,1,5.48,3,3,1,0,0,,0,0,,0,1,1,0,0,0,1,0,6,4.4
